group,cv,npmi,umass,cuci
TENOR,0.8709120266,0.5022014131,-1.028673448,0.4309799815
TENOR,0.7855563382,0.3787064118,-1.153390856,0.3832261333
TENOR,0.5487234732,0.254508662,-1.634119909,0.2794892489
TENOR,0.5449793305,0.2328091118,-1.950851464,0.2412597985
TENOR,0.520498701,0.2201633194,-1.987443517,0.1532798276
TENOR,0.4283230702,0.2192148825,-2.146159118,0.005569690841
TENOR,0.4023685949,0.2156784033,-2.513797834,-0.3909245837
TENOR,0.3833805896,0.2154480581,-2.614931853,-0.6152350704
TENOR,0.3760035388,0.1664813932,-2.717193231,-1.247599364
TENOR,0.3732172984,0.1490977328,-2.876156653,-1.448835699
TENOR,0.3637985349,0.1417597319,-3.042580729,-1.652652285
TENOR,0.3561614409,0.1311422466,-3.635150327,-1.916236998
TENOR,0.3560436973,0.1303826459,-3.658943589,-2.105905137
TENOR,0.3537867332,0.1257198032,-3.849656025,-2.340463442
TENOR,0.340212855,0.1205422628,-3.90769472,-2.362489712
TENOR,0.3293308473,0.1092810022,-4.143647173,-2.513308628
TENOR,0.3223315118,0.07166311876,-4.261286165,-2.8527277
TENOR,0.3097814126,0.06944605721,-4.305473078,-2.921140144
TENOR,0.3053441079,0.06821300407,-4.447703936,-3.252460147
TENOR,0.301390629,0.06478252018,-4.644293196,-3.381611021
TENOR,0.2900392612,0.06407891384,-4.734848583,-3.493378932
TENOR,0.2793172971,0.05310753149,-4.785053729,-3.736377055
TENOR,0.2727170527,0.05060558635,-5.360677017,-3.880053599
TENOR,0.2476586543,0.04918483208,-5.664726081,-4.128554408
TENOR,0.245792097,0.01708033779,-5.736609312,-4.297730965
TENOR,0.2429615963,0.01703572605,-6.378512722,-5.150713435
TENOR,0.2399772261,0.01518045609,-6.572104004,-5.175745917
TENOR,0.2317000504,0.00848838943,-6.94748303,-5.892991192
TENOR,0.2285152549,0.003795203555,-7.092188956,-6.372112573
TENOR,0.226514257,-0.01164775143,-7.286558934,-6.379811749
TENOR,0.2009605937,-0.01798568246,-7.528616464,-6.442660075
TENOR,0.1944957598,-0.02774737225,-7.909888658,-7.456868336
TENOR,0.1726310426,-0.1031537198,-8.706339001,-8.611248348
TENOR,0.1627036636,-0.1244996295,-8.785408882,-8.668933056
TENOR,0.1584413697,-0.2912019945,-14.19548318,-14.37020871
ALTO,0.7439516132,0.3970141014,-1.161811409,0.8981802247
ALTO,0.5734785314,0.2441780087,-1.861290425,0.3436688244
ALTO,0.5136337091,0.2269018189,-1.962865278,0.2281700986
ALTO,0.5085196549,0.2080210825,-2.013297902,0.2117819788
ALTO,0.5002883674,0.194968687,-2.021609638,0.2079811011
ALTO,0.4495728606,0.1938575012,-2.155109602,0.1648684805
ALTO,0.4366423494,0.1895713414,-2.258692727,0.1595894658
ALTO,0.4080299483,0.1856826216,-2.297570435,0.09488122061
ALTO,0.4012149051,0.1722706772,-2.342404394,0.06777211714
ALTO,0.3926392522,0.1705855238,-2.401708305,-0.07426026945
ALTO,0.3848121167,0.1678743003,-2.61516553,-0.1506142113
ALTO,0.3799996045,0.158550008,-2.797996765,-0.3281936993
ALTO,0.3644031563,0.1551056223,-2.809453711,-0.4744775959
ALTO,0.3639041288,0.1490563576,-3.582088035,-0.4886385491
ALTO,0.3614595359,0.1354500879,-3.632887665,-0.5102009979
ALTO,0.360459168,0.1312862873,-4.10933606,-0.5374124199
ALTO,0.3560109784,0.1307357913,-4.175559776,-0.6503096737
ALTO,0.3471428717,0.129052587,-5.164077206,-0.7182001716
ALTO,0.3452402954,0.1266542357,-5.279198494,-0.9772793208
ALTO,0.3402413008,0.1233561914,-5.985379361,-1.028547349
ALTO,0.3354870499,0.1128513578,-6.249725597,-1.104330559
ALTO,0.3272932424,0.09618493107,-7.048713691,-1.179976623
ALTO,0.3132875934,0.09412482842,-7.568207069,-1.297610112
ALTO,0.3057385274,0.09039569493,-7.97448147,-1.317303057
ALTO,0.2917908051,0.07744929466,-9.687171365,-1.384195726
ALTO,0.2875553883,0.06639319056,-9.777500825,-1.711718461
ALTO,0.2855844475,0.06405994287,-10.56911192,-1.859889751
ALTO,0.2594439685,0.02959723392,-11.1091664,-2.035215353
ALTO,0.2552672734,0.02958224445,-11.59625723,-2.640391862
ALTO,0.2340017018,0.029129884,-13.62808392,-3.294901571
ALTO,0.2316422787,0.02635530019,-15.09097141,-3.57496071
ALTO,0.1945670211,0.01852454888,-16.37987784,-3.754621747
ALTO,0.190849982,-0.008345823805,-16.89685436,-5.101598154
ALTO,0.1537778471,-0.08468281479,-17.20949878,-8.188922089
ALTO,0.1284168229,-0.1008340604,-17.82881905,-9.073552737
SALTO(user),0.9655667645,0.4365470582,-1.161811409,1.341192735
SALTO(user),0.8192584485,0.3127391812,-1.861290425,1.238590683
SALTO(user),0.8103528075,0.2588505255,-1.962865278,1.206533322
SALTO(user),0.8097631894,0.2437592899,-2.013297902,0.9465639417
SALTO(user),0.7757593239,0.228297748,-2.021609638,0.7665313228
SALTO(user),0.7704030451,0.2228708784,-2.155109602,0.4309821319
SALTO(user),0.7542092287,0.2088724821,-2.258692727,0.3736817189
SALTO(user),0.7334227668,0.1878914003,-2.297570435,0.2896466123
SALTO(user),0.6837238771,0.1685659524,-2.342404394,0.01691741725
SALTO(user),0.6334418446,0.1671043257,-2.401708305,-0.0004795728555
SALTO(user),0.5974898074,0.1662591361,-2.61516553,-0.01266467688
SALTO(user),0.5598758225,0.1639401543,-2.797996765,-0.08722893792
SALTO(user),0.5556648005,0.1423777569,-2.809453711,-0.7019963715
SALTO(user),0.5531902799,0.1380329877,-3.582088035,-0.8134277837
SALTO(user),0.5316193458,0.1160394602,-3.632887665,-1.133310884
SALTO(user),0.4995134818,0.103601496,-4.10933606,-1.185057961
SALTO(user),0.4923991746,0.08998984427,-4.175559776,-1.235971847
SALTO(user),0.4605986857,0.07672046492,-5.164077206,-1.411936463
SALTO(user),0.443514455,0.07192317023,-5.279198494,-1.858336788
SALTO(user),0.3861588948,0.04246028257,-5.985379361,-2.705897258
SALTO(user),0.3773980753,0.0291992537,-6.249725597,-2.912668916
SALTO(user),0.3492179049,0.01230231296,-7.048713691,-3.251289682
SALTO(user),0.3432818737,0.0003530790929,-7.568207069,-4.324707011
SALTO(user),0.3335591145,-0.0006586461253,-7.97448147,-4.372137997
SALTO(user),0.3308758224,-0.00600502831,-9.687171365,-4.686377094
SALTO(user),0.3170518416,-0.006266231954,-9.777500825,-5.439699968
SALTO(user),0.3096945481,-0.01044150552,-10.56911192,-7.411039327
SALTO(user),0.3022672049,-0.04473204736,-11.1091664,-8.273353959
SALTO(user),0.2957767603,-0.06839917444,-11.59625723,-9.00001652
SALTO(user),0.2950114635,-0.1090581014,-13.62808392,-9.286695471
SALTO(user),0.2937245457,-0.2048095842,-15.09097141,-9.820900627
SALTO(user),0.2521786735,-0.2211486798,-16.37987784,-10.2390266
SALTO(user),0.2117466327,-0.2899055065,-16.89685436,-10.32976126
SALTO(user),0.1765486779,-0.3525738457,-17.20949878,-11.14353357
SALTO(user),0.03266957678,-0.3783689393,-17.82881905,-13.45466416
SALTO ,0.9655667645,0.3516313497,-1.161811409,1.341192735
SALTO ,0.8192584485,0.22363972,-1.861290425,1.238590683
SALTO ,0.8103528075,0.2125023168,-1.962865278,1.206533322
SALTO ,0.8097631894,0.2097652471,-2.013297902,0.9465639417
SALTO ,0.7757593239,0.1938575012,-2.021609638,0.7665313228
SALTO ,0.7704030451,0.1798371878,-2.155109602,0.4309821319
SALTO ,0.7542092287,0.1729217226,-2.258692727,0.3736817189
SALTO ,0.7334227668,0.1592116918,-2.297570435,0.2896466123
SALTO ,0.6837238771,0.158550008,-2.342404394,0.01691741725
SALTO ,0.6334418446,0.1559919999,-2.401708305,-0.0004795728555
SALTO ,0.5974898074,0.1400895367,-2.61516553,-0.01266467688
SALTO ,0.5598758225,0.1310796747,-2.797996765,-0.08722893792
SALTO ,0.5556648005,0.1309049859,-2.809453711,-0.7019963715
SALTO ,0.5531902799,0.125958263,-3.582088035,-0.8134277837
SALTO ,0.5316193458,0.1231327113,-3.632887665,-1.133310884
SALTO ,0.4995134818,0.1168731843,-4.10933606,-1.185057961
SALTO ,0.4923991746,0.1065205642,-4.175559776,-1.235971847
SALTO ,0.4605986857,0.1025077696,-5.164077206,-1.411936463
SALTO ,0.443514455,0.09757298301,-5.279198494,-1.858336788
SALTO ,0.3861588948,0.07241912283,-5.985379361,-2.705897258
SALTO ,0.3773980753,0.06743654139,-6.249725597,-2.912668916
SALTO ,0.3492179049,0.05491074468,-7.048713691,-3.251289682
SALTO ,0.3432818737,0.05482630523,-7.568207069,-4.324707011
SALTO ,0.3335591145,0.05471530483,-7.97448147,-4.372137997
SALTO ,0.3308758224,0.05463002593,-9.687171365,-4.686377094
SALTO ,0.3170518416,0.05418994201,-9.777500825,-5.439699968
SALTO ,0.3096945481,0.04049093619,-10.56911192,-7.411039327
SALTO ,0.3022672049,0.03253674304,-11.1091664,-8.273353959
SALTO ,0.2957767603,0.011812225,-11.59625723,-9.00001652
SALTO ,0.2950114635,-0.04043255779,-13.62808392,-9.286695471
SALTO ,0.2937245457,-0.04173401895,-15.09097141,-9.820900627
SALTO ,0.2521786735,-0.05896613365,-16.37987784,-10.2390266
SALTO ,0.2117466327,-0.06508456067,-16.89685436,-10.32976126
SALTO ,0.1765486779,-0.1089182993,-17.20949878,-11.14353357
SALTO ,0.03266957678,-0.1160890012,-17.82881905,-13.45466416
