group,mentalChallenge,confidence,topicRelevance,topicCoherence,highlightQuality,topicDependence,highlightDependence,satisfaction
ALTO,6,5,3,3,5,4,5,3
ALTO,3,4,6,5,6,2,1,6
ALTO,4,5,3,2,3,2,2,3
ALTO,6,4,5,6,6,5,5,5
ALTO,5,5,5,4,4,3,2,6
ALTO,7,4,3,2,4,2,3,5
ALTO,5,2,4,4,4,2,2,5
ALTO,5,2,4,4,5,2,2,6
ALTO,6,5,6,5,4,3,2,5
ALTO,7,6,6,5,4,4,4,4
SALTO,4,5,6,5,5,4,4,5
SALTO,6,6,3,4,4,2,4,4
SALTO,7,7,7,5,6,6,6,5
SALTO,3,4,2,5,5,2,5,6
SALTO,7,1,1,1,7,7,1,7
SALTO,7,7,3,2,4,5,4,5
SALTO,6,5,5,5,5,5,5,5
SALTO,7,6,6,5,4,5,5,6
SALTO,6,2,2,3,2,1,2,2
SALTO,7,5,5,3,5,6,7,5
TENOR,6,4,5,4,3,5,6,5
TENOR,5,4,6,5,5,5,5,6
TENOR,4,6,5,6,2,3,1,6
TENOR,6,5,6,6,5,5,6,5
TENOR,3,6,6,5,4,6,3,7
TENOR,6,4,4,4,5,5,4,5
TENOR,6,5,5,5,4,3,3,3
TENOR,3,6,7,6,6,5,6,6
TENOR,7,5,6,6,7,7,6,6
TENOR,6,5,4,6,2,3,4,2
TENOR,6,6,5,5,4,6,4,7
SALTO,6,3,5,4,4,7,7,4
ALTO,3,6,6,5,6,5,3,6
